,url_length,path_length,ip_present,number_of_digits,number_of_parameters,number_of_fragments,is_url_encoded,number_encoded_char,number_of_subdirectories,host_length,number_of_periods,has_client,has_admin,has_server,has_login,number_of_dashes,have_at_sign,is_tiny_url,number_of_subdomains_and_extensions,number_of_spaces,number_of_zeros,is_url_single_character_directory,number_of_uppercase,number_of_lowercase,ratio_upper_to_lower,number_of_double_slashes,target
0,55,20,0,0,0,0,False,0,1,28,3,False,False,False,False,1,False,0,2,0,0,0,0,47,0.0,1,0
1,28,1,0,0,0,0,False,0,1,20,2,False,False,False,False,0,False,0,2,0,0,0,0,22,0.0,1,0
2,30,1,0,0,0,0,False,0,1,22,2,False,False,False,False,0,False,0,2,0,0,0,0,24,0.0,1,0
3,30,0,0,0,0,0,False,0,0,23,2,False,False,False,False,1,False,0,2,0,0,0,0,24,0.0,1,0
4,27,1,0,0,0,0,False,0,1,19,2,False,False,False,False,0,False,0,2,0,0,0,0,21,0.0,1,0
5,23,1,0,0,0,0,False,0,1,15,2,False,False,False,False,0,False,0,2,0,0,0,0,17,0.0,1,0
6,29,1,0,0,0,0,False,0,1,21,2,False,False,False,False,0,False,0,2,0,0,0,0,23,0.0,1,0
7,28,1,0,0,0,0,False,0,1,20,2,False,False,False,False,0,False,0,2,0,0,0,0,22,0.0,1,0
8,26,1,0,0,0,0,False,0,1,18,2,False,False,False,False,0,False,0,2,0,0,0,0,20,0.0,1,0
9,38,14,0,2,0,0,False,0,2,17,2,False,False,False,False,0,False,0,2,0,0,0,0,29,0.0,1,0
10,61,37,0,4,0,0,False,0,4,17,3,False,False,False,False,0,False,0,2,0,0,0,0,47,0.0,1,0
11,30,0,0,0,0,0,False,0,0,23,2,False,False,False,False,0,False,0,2,0,0,0,0,25,0.0,1,0
12,22,0,0,0,0,0,False,0,0,15,2,False,False,False,False,0,False,0,2,0,0,0,0,17,0.0,1,0
13,39,12,0,0,0,0,False,0,1,20,4,False,False,False,False,0,False,0,3,0,0,0,0,31,0.0,1,0
14,22,1,0,0,0,0,False,0,1,14,2,False,False,False,False,1,False,0,2,0,0,0,0,15,0.0,1,0
15,31,0,0,0,0,0,False,0,0,24,2,False,False,False,False,0,False,0,2,0,0,0,0,26,0.0,1,0
16,33,1,0,0,0,0,False,0,1,25,2,False,False,False,False,2,False,0,2,0,0,0,0,25,0.0,1,0
17,24,1,0,0,0,0,False,0,1,16,2,False,False,False,False,0,False,0,2,0,0,0,0,18,0.0,1,0
18,25,1,0,0,0,0,False,0,1,17,2,False,False,False,False,0,False,0,2,0,0,0,0,19,0.0,1,0
19,51,16,0,0,0,0,False,0,1,28,3,False,False,False,False,0,False,0,2,0,0,0,0,44,0.0,1,0
20,35,11,0,3,0,0,False,0,2,17,2,False,False,False,False,0,False,0,2,0,0,0,0,25,0.0,1,0
21,30,1,0,0,0,0,False,0,1,22,2,False,False,False,False,0,False,0,2,0,0,0,0,24,0.0,1,0
22,35,12,0,0,0,0,False,0,2,16,2,False,False,False,False,0,False,0,2,0,0,0,0,28,0.0,1,0
23,42,15,0,4,0,0,False,0,3,20,2,False,False,False,False,0,False,0,2,0,0,0,0,30,0.0,1,0
24,20,0,0,0,0,0,False,0,0,13,1,False,False,False,False,1,False,0,1,0,0,0,0,15,0.0,1,0
25,31,0,0,0,0,0,False,0,0,24,2,False,False,False,False,0,False,0,2,0,0,0,0,26,0.0,1,0
26,46,22,0,4,0,0,False,0,5,17,2,False,False,False,False,0,False,0,2,0,0,0,0,32,0.0,1,0
27,27,9,0,0,0,0,False,0,1,11,2,False,False,False,False,0,False,0,1,0,0,0,0,21,0.0,1,0
28,28,1,0,0,0,0,False,0,1,20,2,False,False,False,False,0,False,0,2,0,0,0,0,22,0.0,1,0
29,40,1,0,0,0,0,False,0,1,32,2,False,False,False,False,2,False,0,2,0,0,0,0,32,0.0,1,0
30,44,20,0,0,0,0,False,0,2,17,3,False,False,False,False,0,False,0,2,0,0,0,0,36,0.0,1,0
31,43,17,0,5,0,0,False,0,2,19,4,False,False,False,False,0,False,0,3,0,1,0,0,28,0.0,1,0
32,19,0,0,0,0,0,False,0,0,12,2,False,False,False,False,0,False,0,2,0,0,0,0,14,0.0,1,0
33,23,1,0,0,0,0,False,0,1,15,2,False,False,False,False,0,False,0,2,0,0,0,0,17,0.0,1,0
34,26,1,0,0,0,0,False,0,1,18,2,False,False,False,False,0,False,0,2,0,0,0,0,20,0.0,1,0
35,63,41,0,6,0,0,False,0,2,15,2,False,False,False,False,0,False,0,2,0,2,0,0,45,0.0,1,0
36,47,22,0,0,0,0,False,0,2,18,4,False,False,False,False,0,False,0,3,0,0,0,0,36,0.0,1,0
37,50,26,0,1,0,0,False,0,3,17,3,False,False,False,False,0,False,0,2,0,0,0,0,40,0.0,1,0
38,29,1,0,0,0,0,False,0,1,21,3,False,False,False,False,0,False,0,3,0,0,0,0,22,0.0,1,0
39,42,18,0,2,0,0,False,0,2,17,2,False,False,False,False,1,False,0,2,0,0,0,0,31,0.0,1,0
40,42,18,0,2,0,0,False,0,3,17,2,False,False,False,False,0,False,0,2,0,0,0,0,32,0.0,1,0
41,40,1,0,1,0,0,False,0,1,32,2,False,False,False,False,3,False,0,2,0,0,0,0,30,0.0,1,0
42,24,1,0,0,0,0,False,0,1,16,2,False,False,False,False,0,False,0,2,0,0,0,0,18,0.0,1,0
43,38,1,0,0,0,0,False,0,1,30,2,False,False,False,False,0,False,0,2,0,0,0,0,32,0.0,1,0
44,46,22,0,0,0,0,False,0,3,17,2,False,False,False,False,0,False,0,2,0,0,0,0,38,0.0,1,0
45,40,1,0,0,0,0,False,0,1,32,3,False,False,False,False,1,False,0,3,0,0,0,0,32,0.0,1,0
46,36,0,0,0,0,0,False,0,0,29,2,False,False,False,False,0,False,0,2,0,0,0,0,31,0.0,1,0
47,23,1,0,0,0,0,False,0,1,15,2,False,False,False,False,0,False,0,2,0,0,0,0,17,0.0,1,0
48,33,10,0,0,0,0,False,0,2,16,2,False,False,False,False,0,False,0,2,0,0,0,0,26,0.0,1,0
49,31,9,0,0,0,0,False,0,1,15,3,False,False,False,False,0,False,0,2,0,0,0,0,24,0.0,1,0
50,21,1,0,0,0,0,False,0,1,13,2,False,False,False,False,0,False,0,2,0,0,0,0,15,0.0,1,0
51,40,22,0,0,0,0,False,0,4,11,2,False,False,False,False,0,False,0,2,0,0,0,0,31,0.0,1,0
52,22,1,0,0,0,0,False,0,1,14,2,False,False,False,False,0,False,0,2,0,0,0,0,16,0.0,1,0
53,74,10,0,2,3,0,False,0,1,16,3,False,False,False,False,0,False,0,2,0,0,0,0,57,0.0,1,0
54,39,17,0,0,0,0,False,0,2,15,2,False,False,False,False,0,False,0,1,0,0,0,0,32,0.0,1,0
55,40,16,0,0,0,0,False,0,3,17,3,False,False,False,False,0,False,0,2,0,0,0,0,31,0.0,1,0
56,26,0,0,0,0,0,False,0,0,19,2,False,False,False,False,0,False,0,2,0,0,0,0,21,0.0,1,0
57,22,1,0,0,0,0,False,0,1,14,2,False,False,False,False,0,False,0,2,0,0,0,0,16,0.0,1,0
58,32,1,0,0,0,0,False,0,1,24,2,False,False,False,False,1,False,0,2,0,0,0,0,25,0.0,1,0
59,51,28,0,0,0,0,False,0,2,16,2,False,False,False,False,0,False,0,2,0,0,0,0,42,0.0,1,0
60,50,10,0,0,1,0,False,0,1,17,3,False,False,False,False,0,False,0,2,0,0,0,0,41,0.0,1,0
61,24,1,0,1,0,0,False,0,1,16,2,False,False,False,False,0,False,0,2,0,0,0,0,17,0.0,1,0
62,41,12,0,0,0,0,False,0,2,22,2,False,False,False,False,0,False,0,2,0,0,0,0,34,0.0,1,0
63,42,1,0,0,0,0,False,0,1,34,2,False,False,False,False,0,False,0,2,0,0,0,0,36,0.0,1,0
64,28,1,0,0,0,0,False,0,1,20,2,False,False,False,False,0,False,0,2,0,0,0,0,22,0.0,1,0
65,33,10,0,3,0,0,False,0,1,16,2,False,False,False,False,0,False,0,2,0,1,0,0,24,0.0,1,0
66,29,7,0,0,0,0,False,0,2,15,2,False,False,False,False,0,False,0,2,0,0,0,0,21,0.0,1,0
67,26,0,0,0,0,0,False,0,0,19,1,False,False,False,False,0,False,0,1,0,0,0,0,22,0.0,1,0
68,26,0,0,0,0,0,False,0,0,19,2,False,False,False,False,0,False,0,2,0,0,0,0,21,0.0,1,0
69,47,24,0,2,0,0,False,0,3,16,4,False,False,False,False,0,False,0,3,0,1,0,0,34,0.0,1,0
70,33,8,0,0,0,0,False,0,2,18,2,False,False,False,False,0,False,0,2,0,0,0,0,25,0.0,1,0
71,25,0,0,0,0,0,False,0,0,18,2,False,False,False,False,0,False,0,2,0,0,0,0,20,0.0,1,0
72,68,37,0,4,1,0,False,0,5,12,3,False,False,False,False,0,False,0,2,0,0,0,0,50,0.0,1,0
73,26,1,0,0,0,0,False,0,1,18,2,False,False,False,False,0,False,0,2,0,0,0,0,20,0.0,1,0
74,23,1,0,0,0,0,False,0,1,15,2,False,False,False,False,0,False,0,2,0,0,0,0,17,0.0,1,0
75,42,17,0,0,0,0,False,0,2,18,3,False,False,False,False,0,False,0,2,0,0,0,0,34,0.0,1,0
76,28,1,0,0,0,0,False,0,1,20,2,False,False,False,False,0,False,0,2,0,0,0,0,22,0.0,1,0
77,31,1,0,0,0,0,False,0,1,23,2,False,False,False,False,0,False,0,2,0,0,0,0,25,0.0,1,0
78,26,0,0,0,0,0,False,0,0,19,2,False,False,False,False,0,False,0,2,0,0,0,0,21,0.0,1,0
79,29,1,0,0,0,0,False,0,1,21,2,False,False,False,False,0,False,0,2,0,0,0,0,23,0.0,1,0
80,27,1,0,0,0,0,False,0,1,19,2,False,False,False,False,0,False,0,2,0,0,0,0,21,0.0,1,0
81,30,0,0,0,0,0,False,0,0,23,2,False,False,False,False,0,False,0,2,0,0,0,0,25,0.0,1,0
82,27,1,0,0,0,0,False,0,1,19,2,False,False,False,False,0,False,0,2,0,0,0,0,21,0.0,1,0
83,34,0,0,0,0,0,False,0,0,27,3,False,False,False,False,0,False,0,3,0,0,0,0,28,0.0,1,0
84,27,1,0,0,0,0,False,0,1,19,2,False,False,False,False,0,False,0,2,0,0,0,0,21,0.0,1,0
85,25,1,0,0,0,0,False,0,1,17,2,False,False,False,False,0,False,0,2,0,0,0,0,19,0.0,1,0
86,28,1,0,0,0,0,False,0,1,20,2,False,False,False,False,1,False,0,2,0,0,0,0,21,0.0,1,0
87,27,1,0,0,0,0,False,0,1,19,2,False,False,False,False,0,False,0,2,0,0,0,0,21,0.0,1,0
88,25,0,0,0,0,0,False,0,0,18,2,False,False,False,False,0,False,0,2,0,0,0,0,20,0.0,1,0
89,44,21,0,2,0,0,False,0,3,16,3,False,False,False,False,0,False,0,2,0,0,0,0,33,0.0,1,0
90,28,1,0,0,0,0,False,0,1,20,2,False,False,False,False,0,False,0,2,0,0,0,0,22,0.0,1,0
91,26,1,0,0,0,0,False,0,1,18,2,False,False,False,False,0,False,0,2,0,0,0,0,20,0.0,1,0
